HouseID,OverallQual,GrLivArea,TotalBsmtSF,GarageCars,BedroomAbvGr,FullBath,YearBuilt,LotArea,Neighborhood,PropertyType,SalePrice
10039,3,2316,883.0,1.0,3,2,1953,8463.0,Lakeside,Semi-Detached,513100
10040,5,2010,932.0,2.0,3,4,1967,4643.0,West,Detached,581235
10041,5,1891,1440.0,2.0,5,2,2001,11250.0,West,Semi-Detached,568577
10042,9,2290,1417.0,3.0,4,2,1987,5487.0,Greenfield,Detached,765485
10043,4,2666,552.0,1.0,4,2,1969,2630.0,Greenfield,Townhouse,519110
10044,10,2308,1072.0,,2,1,1993,11371.0,Greenfield,Semi-Detached,736137
10046,6,1046,547.0,1.0,3,2,1968,9393.0,North,Detached,390474
10047,10,1406,963.0,2.0,2,2,2017,15205.0,Central,Detached,680813
10048,9,1764,927.0,2.0,6,3,2015,9455.0,West,Detached,668616
10049,8,2035,2021.0,2.0,2,2,1962,8634.0,North,Semi-Detached,645887
10051,9,1853,499.0,2.0,3,3,2010,4774.0,Greenfield,Detached,630857
10053,5,1414,1459.0,2.0,2,2,1979,19447.0,East,Semi-Detached,532043
10054,6,976,1885.0,0.0,3,3,2000,6757.0,Greenfield,Detached,515606
10055,9,1242,416.0,1.0,3,2,1997,7458.0,West,Detached,524019
10056,6,1007,298.0,2.0,5,2,1982,14085.0,Lakeside,Semi-Detached,459395
10057,10,1213,1798.0,2.0,2,1,2023,3998.0,East,Detached,710503
10058,3,2330,1206.0,1.0,5,2,1968,10575.0,North,Semi-Detached,538951
10059,5,1228,703.0,2.0,4,1,2020,3914.0,East,Detached,463802
10061,5,2021,0.0,1.0,4,2,1968,7920.0,West,Detached,482841
10062,9,1852,1051.0,2.0,2,2,1990,10538.0,North,Detached,654847
10063,7,1278,1181.0,1.0,5,3,1991,5072.0,Greenfield,Detached,542950
10064,3,2135,1420.0,3.0,3,2,2001,6288.0,South,Detached,569452
10065,9,1433,644.0,3.0,3,2,1953,10786.0,South,Detached,570978
10067,6,3158,680.0,1.0,2,2,1954,11239.0,West,Townhouse,642323
10069,6,2382,692.0,3.0,2,2,2010,6546.0,Central,Detached,667832
10073,3,1405,1393.0,3.0,3,3,1962,11112.0,North,Semi-Detached,501572
10075,7,2139,1065.0,2.0,3,2,2009,6182.0,Greenfield,Semi-Detached,613545
10076,4,1441,471.0,2.0,4,3,2021,12050.0,North,Semi-Detached,441297
10078,6,2285,1030.0,0.0,3,4,1993,6273.0,Greenfield,Townhouse,595398
10080,6,886,605.0,1.0,4,2,2020,5011.0,East,Detached,459967
10081,9,1350,1636.0,2.0,3,2,1999,5485.0,Greenfield,Semi-Detached,621483
10082,6,1614,1449.0,2.0,4,4,1993,6274.0,South,Townhouse,520525
10083,7,1709,1162.0,2.0,3,2,1963,5780.0,North,Detached,598228
10084,10,2091,1753.0,1.0,4,3,1964,12451.0,Lakeside,Detached,763038
10085,9,1848,1199.0,2.0,5,2,1965,5644.0,Lakeside,Detached,716896
10086,5,1016,1206.0,3.0,3,2,1951,5837.0,East,Townhouse,438193
10087,8,1959,1029.0,1.0,3,3,1979,8580.0,West,Semi-Detached,639530
10088,3,2086,1539.0,1.0,3,2,1979,,Lakeside,Detached,537433
10089,6,2058,1489.0,1.0,2,2,1980,16171.0,Central,Townhouse,603192
10090,4,2344,800.0,3.0,3,2,1969,11478.0,South,Semi-Detached,551304
10091,10,2209,522.0,2.0,4,2,1998,4729.0,North,Townhouse,703480
10092,6,2003,969.0,2.0,3,2,1984,12624.0,East,Detached,580056
10093,4,1711,730.0,1.0,5,2,1972,13863.0,Lakeside,Detached,513426
10094,8,836,1025.0,2.0,3,2,2010,4785.0,Greenfield,Semi-Detached,537276
10095,8,1986,1545.0,3.0,4,4,2004,4736.0,Greenfield,Detached,745425
10096,8,1864,867.0,3.0,3,2,2016,6078.0,Lakeside,Semi-Detached,656098
10097,4,1899,1033.0,2.0,3,3,1957,4232.0,West,Semi-Detached,481242
10098,6,1048,1073.0,0.0,3,2,1989,5631.0,East,Detached,445025
10099,8,1155,1389.0,1.0,3,2,2008,6682.0,Central,Townhouse,572991
10101,9,1728,807.0,1.0,4,2,1956,8298.0,West,Detached,620598
10102,4,2125,1135.0,1.0,5,2,1951,7484.0,North,Detached,557239
10103,4,1766,1530.0,1.0,3,2,1955,6437.0,Greenfield,Detached,463665
10104,6,1766,853.0,2.0,2,2,1985,4441.0,East,Detached,535708
10105,4,2266,299.0,3.0,3,1,1981,10441.0,East,Semi-Detached,515955
10106,4,1466,1298.0,2.0,3,2,1994,10336.0,Central,Semi-Detached,530184
10107,8,1803,796.0,3.0,2,1,1991,6061.0,Central,Detached,629700
10108,6,1496,574.0,2.0,4,1,2002,4874.0,South,Semi-Detached,516966
10109,8,1511,800.0,1.0,6,3,1958,16114.0,Lakeside,Detached,614048
10111,10,1872,808.0,1.0,3,2,2024,9565.0,South,Semi-Detached,651173
10113,10,2441,1409.0,2.0,4,3,1951,4657.0,Central,Semi-Detached,767066
10114,8,1258,1560.0,4.0,3,2,2016,15707.0,Greenfield,Detached,641477
10115,9,1647,1311.0,1.0,3,3,1960,6672.0,Lakeside,Semi-Detached,666434
10117,3,2546,969.0,3.0,3,4,1984,15421.0,North,Townhouse,610012
10118,8,1858,1047.0,0.0,3,3,1964,8298.0,North,Detached,584969
10119,10,2318,1290.0,2.0,3,3,2024,4701.0,West,Detached,759207
10120,7,933,1317.0,2.0,4,1,1980,2605.0,South,Semi-Detached,490231
10121,10,1897,756.0,3.0,3,2,2011,7863.0,Lakeside,Townhouse,705552
10122,7,2239,1083.0,4.0,5,2,1977,8953.0,Central,Detached,701204
10123,4,1795,1233.0,4.0,4,2,1974,6160.0,Greenfield,Detached,526485
10126,10,2525,1366.0,2.0,4,1,1950,12512.0,West,Detached,733841
10127,4,3014,1084.0,2.0,2,2,2008,7218.0,South,Detached,653154
10128,3,1550,1614.0,1.0,2,2,2018,7838.0,West,Detached,487082
10129,6,1505,1214.0,2.0,3,2,2023,7382.0,East,Detached,550441
10130,6,2549,706.0,4.0,3,3,1991,8122.0,East,Detached,618266
10131,6,2619,1611.0,3.0,4,2,1983,6350.0,East,Detached,728765
10132,7,1462,1329.0,2.0,2,1,2015,6337.0,North,Detached,607464
10133,3,1519,873.0,0.0,3,2,1967,,West,Townhouse,358586
10134,7,1595,858.0,2.0,3,2,1954,8583.0,East,Semi-Detached,485494
10135,9,1011,1169.0,3.0,6,1,1969,5464.0,North,Semi-Detached,567483
10137,3,1198,1129.0,2.0,4,2,2024,18053.0,South,Townhouse,410793
10138,3,1328,1175.0,0.0,3,2,2011,11975.0,East,Detached,429330
10139,9,1731,,2.0,2,2,1981,5201.0,North,Detached,666623
10140,3,1879,1479.0,2.0,6,1,2007,11805.0,West,Detached,525077
10141,10,2603,1126.0,3.0,3,4,1999,10610.0,Central,Semi-Detached,797897
10143,6,2291,637.0,2.0,4,3,2004,5817.0,Lakeside,Detached,645532
10144,10,1632,1209.0,2.0,1,1,1977,5528.0,East,Detached,621960
10145,10,1723,1774.0,0.0,4,3,2023,8848.0,West,Semi-Detached,727759
10146,9,2121,963.0,4.0,3,3,1971,5466.0,Lakeside,Detached,745532
10147,5,1133,711.0,2.0,3,3,1992,13108.0,East,Detached,485121
10148,5,1960,789.0,2.0,2,1,1985,14892.0,Central,Detached,547398
10149,3,1842,614.0,2.0,2,3,2001,7847.0,East,Detached,442495
10150,10,2021,,2.0,5,4,1985,13355.0,East,Semi-Detached,714946
10151,5,1909,902.0,2.0,4,2,1977,6648.0,Central,Detached,537232
10152,5,3100,488.0,2.0,3,2,2007,5801.0,North,Detached,627796
10153,3,1399,1056.0,1.0,2,3,1985,13126.0,East,Semi-Detached,417129
10154,5,1458,1411.0,2.0,4,2,2019,16287.0,South,Semi-Detached,527878
10155,7,1407,687.0,1.0,4,2,1958,19353.0,East,Detached,544494
10156,4,1444,1658.0,2.0,3,2,1970,9292.0,South,Townhouse,435698
10157,9,1399,1254.0,0.0,3,3,2013,11792.0,West,Detached,639836
10158,4,2404,1462.0,2.0,3,1,2010,9200.0,Lakeside,Detached,602035
10159,3,2531,787.0,3.0,4,2,1989,15044.0,Lakeside,Townhouse,607189
10160,6,1436,1392.0,3.0,6,2,2005,9722.0,East,Townhouse,552223
10161,9,1292,613.0,2.0,3,3,1953,11493.0,Greenfield,Detached,556007
10162,3,2009,1406.0,2.0,4,2,1980,4799.0,West,Detached,528120
10164,6,2098,1271.0,2.0,3,3,2007,11537.0,Lakeside,Detached,633395
10165,4,1862,580.0,3.0,3,1,1974,11081.0,Central,Detached,509046
10166,3,916,692.0,1.0,4,2,2018,,Central,Detached,392263
10167,10,2601,1289.0,2.0,3,1,2019,8446.0,South,Townhouse,796332
10168,9,2738,671.0,3.0,3,2,1954,5966.0,East,Townhouse,672207
10170,8,1537,503.0,1.0,3,3,1958,8171.0,West,Detached,585557
10172,7,1934,557.0,1.0,4,1,1956,5175.0,West,Detached,532938
10173,5,2112,1271.0,1.0,3,1,2021,7098.0,Lakeside,Detached,614709
10175,10,1653,771.0,3.0,3,2,1986,2917.0,West,Detached,620252
10176,8,1311,1283.0,3.0,3,2,1988,11636.0,North,Townhouse,586392
10177,5,991,1154.0,0.0,3,3,1955,8613.0,Central,Semi-Detached,426187
10178,5,1348,834.0,3.0,3,3,2006,9015.0,Central,Detached,545596
10179,3,1732,647.0,2.0,2,2,1968,6344.0,North,Detached,432005
10180,5,2737,265.0,2.0,3,3,2012,10415.0,Central,Semi-Detached,612969
10181,7,1465,1190.0,,4,2,1980,5502.0,East,Townhouse,536330
10182,9,1873,424.0,1.0,4,3,2024,5905.0,North,Semi-Detached,624558
10183,8,1741,1088.0,2.0,3,2,1959,10614.0,East,Detached,626314
10184,5,2404,945.0,,3,1,2016,9395.0,South,Semi-Detached,600420
10187,4,1481,918.0,1.0,1,3,1967,5687.0,Central,Semi-Detached,424741
10188,9,2324,1343.0,0.0,5,2,1974,7537.0,Central,Semi-Detached,691118
10190,8,2766,1176.0,3.0,3,1,2007,3166.0,North,Semi-Detached,760551
10191,9,2071,1238.0,0.0,3,2,1999,3712.0,Greenfield,Detached,675414
10192,5,1552,436.0,0.0,2,2,1959,9760.0,Central,Detached,443460
10193,3,2075,1353.0,2.0,4,2,1970,2622.0,North,Detached,535984
10194,9,2360,1295.0,3.0,2,2,1978,3190.0,Lakeside,Townhouse,697125
10195,9,2201,643.0,2.0,2,2,1959,13575.0,South,Semi-Detached,612754
10196,4,2029,952.0,2.0,4,2,1962,6656.0,West,Detached,536888
10198,6,2393,996.0,,4,3,1972,5022.0,East,Detached,630329
10199,7,2510,1184.0,0.0,3,2,1999,6932.0,Greenfield,Detached,645655
10200,5,2107,1623.0,2.0,3,2,1953,10203.0,East,Detached,564171
10201,9,1658,1483.0,2.0,4,2,2016,9891.0,North,Detached,674170
10202,10,1831,525.0,2.0,2,2,2002,7133.0,Greenfield,Detached,653007
10203,9,2414,1299.0,2.0,3,1,1951,5975.0,Greenfield,Detached,713805
10205,6,1953,1205.0,1.0,3,2,2014,14865.0,East,Detached,599657
10206,7,1534,1486.0,2.0,4,2,2006,11276.0,North,Semi-Detached,610532
10207,10,1766,1855.0,1.0,5,3,2019,6018.0,Lakeside,Detached,792876
10208,6,2453,1459.0,1.0,6,2,1956,5120.0,North,Semi-Detached,639628
10209,8,1855,1150.0,2.0,4,2,1968,5857.0,North,Semi-Detached,593019
10210,7,1776,1468.0,3.0,3,1,1993,4510.0,West,Semi-Detached,664160
10212,9,2160,1060.0,2.0,3,1,2014,11538.0,North,Semi-Detached,708391
10214,9,2940,1675.0,1.0,3,2,1975,17346.0,North,Townhouse,767342
10215,5,1581,,3.0,5,2,1993,17785.0,North,Detached,530276
10216,7,1871,1663.0,2.0,3,2,1961,9188.0,North,Detached,626105
10217,6,1887,1250.0,2.0,3,3,1971,10972.0,South,Detached,577310
10218,7,2618,490.0,3.0,3,1,1963,5335.0,Central,Semi-Detached,645482
10219,10,1698,1197.0,2.0,4,2,1979,6801.0,Lakeside,Detached,742006
10220,9,1903,210.0,3.0,4,2,1993,14182.0,East,Townhouse,630756
10222,5,1853,1404.0,2.0,3,2,2008,15623.0,North,Semi-Detached,594338
10223,8,1504,813.0,3.0,4,2,1991,13198.0,North,Detached,618327
10224,6,1857,1099.0,2.0,2,2,2001,11220.0,South,Semi-Detached,564563
10225,4,2340,1832.0,2.0,5,2,2012,4720.0,West,Detached,602489
10226,4,1185,848.0,,3,2,2010,6952.0,Central,Detached,467878
10227,7,1823,626.0,3.0,3,2,1983,10690.0,West,Townhouse,540376
10228,8,1365,1643.0,0.0,3,2,1988,5134.0,East,Townhouse,532063
10229,3,2407,1835.0,2.0,4,2,1990,7344.0,North,Townhouse,617625
10230,7,912,1051.0,1.0,1,2,1986,11222.0,Lakeside,Detached,485258
10231,8,1443,1455.0,2.0,5,1,2014,6195.0,East,Detached,596215
10232,6,1957,1587.0,1.0,3,1,1981,5466.0,Central,Detached,615310
10233,6,2611,753.0,1.0,3,2,1957,3558.0,West,Detached,607141
10235,6,1445,,3.0,3,2,1994,11329.0,Greenfield,Detached,592216
10236,6,2785,1724.0,1.0,3,1,1982,5401.0,Greenfield,Semi-Detached,684429
10237,8,954,1275.0,1.0,3,3,1954,8065.0,West,Semi-Detached,479768
10239,5,1992,1845.0,2.0,3,2,1985,5927.0,South,Semi-Detached,570609
10242,9,2140,1187.0,2.0,4,2,1954,12571.0,North,Semi-Detached,688974
10243,6,1884,1672.0,1.0,2,2,1983,5849.0,East,Detached,560620
10244,3,1440,1392.0,1.0,3,2,1973,19609.0,North,Detached,473115
10246,8,2230,1235.0,2.0,3,2,2020,6512.0,West,Detached,721807
10247,3,2108,1067.0,2.0,4,3,1971,5644.0,East,Semi-Detached,482099
10249,3,2766,38.0,2.0,2,3,1964,8651.0,Greenfield,Townhouse,490906
10250,5,1161,931.0,2.0,4,3,1974,5455.0,Central,Detached,498382
10253,6,1725,1205.0,2.0,3,2,2015,5521.0,Central,Detached,625736
10254,7,1884,968.0,2.0,4,2,1981,12629.0,West,Detached,580422
10256,5,1944,1679.0,1.0,2,2,2017,11667.0,North,Semi-Detached,604984
10257,9,1062,864.0,3.0,3,3,1993,11595.0,East,Townhouse,562812
10258,8,2544,990.0,1.0,5,1,2015,5297.0,North,Detached,712731
10259,10,1705,1020.0,,3,2,1963,6097.0,Greenfield,Detached,620726
10261,3,1938,1128.0,2.0,4,1,1969,8398.0,East,Detached,492334
10263,7,2063,598.0,1.0,4,2,1985,8820.0,South,Detached,618933
10264,3,1996,1299.0,4.0,6,2,1958,10741.0,West,Semi-Detached,536524
10265,5,2103,1302.0,2.0,1,2,2020,10128.0,North,Semi-Detached,606693
10266,4,2481,728.0,3.0,2,2,1979,5246.0,Lakeside,Detached,629430
10267,6,1858,1408.0,2.0,4,2,2012,18699.0,East,Detached,617276
10268,10,2140,,2.0,4,1,1984,4072.0,West,Semi-Detached,682227
10269,9,1701,1151.0,1.0,3,3,1962,8409.0,Central,Semi-Detached,639586
10270,5,2542,1378.0,2.0,3,2,1995,17477.0,Greenfield,Detached,633186
10273,10,1728,843.0,1.0,3,2,1985,4980.0,East,Detached,622152
10274,10,963,971.0,2.0,3,3,1952,9352.0,West,Detached,550812
10275,3,1820,968.0,3.0,3,2,1968,7869.0,Central,Townhouse,487392
10277,3,2212,979.0,1.0,3,2,1972,11807.0,North,Detached,490150
10278,8,1391,431.0,2.0,4,3,1956,5533.0,East,Semi-Detached,542802
10279,3,1505,854.0,1.0,4,3,1963,5836.0,Central,Detached,464096
10280,4,711,936.0,1.0,3,2,1995,9719.0,East,Detached,393445
10281,6,1501,948.0,1.0,4,2,1964,7501.0,East,Detached,524286
10282,6,500,953.0,3.0,3,3,2016,8633.0,East,Semi-Detached,434232
10283,8,879,1025.0,3.0,2,2,1964,7297.0,West,Detached,504964
10284,9,2168,1242.0,,2,3,2000,15109.0,Greenfield,Townhouse,687605
10285,4,2182,1400.0,2.0,3,2,1957,5276.0,West,Townhouse,523416
10286,5,1984,790.0,2.0,3,2,2018,6490.0,South,Semi-Detached,549352
10287,3,1218,569.0,2.0,4,2,2011,9934.0,North,Semi-Detached,439168
10288,7,1724,633.0,2.0,4,2,2000,5129.0,North,Detached,574487
10289,3,1748,855.0,2.0,4,2,2012,5028.0,West,Detached,479342
10291,3,2577,742.0,0.0,3,2,1965,11819.0,South,Townhouse,451674
10292,5,2233,532.0,2.0,3,2,1973,12535.0,Central,Detached,564702
10293,3,1628,868.0,3.0,3,2,1955,8337.0,Central,Detached,450798
10294,4,1765,1123.0,2.0,2,2,2006,5912.0,South,Detached,493524
10295,4,1865,1288.0,3.0,4,3,1980,,East,Detached,524956
10296,6,627,827.0,4.0,6,3,1955,10321.0,Greenfield,Detached,496504
10297,8,1614,885.0,1.0,2,1,1978,9000.0,East,Detached,582931
10300,10,1595,711.0,4.0,3,3,1952,5846.0,Lakeside,Detached,648315
10302,3,2102,336.0,2.0,4,3,2023,4123.0,Central,Townhouse,493165
10303,5,1436,906.0,1.0,5,1,1997,6276.0,Lakeside,Townhouse,522181
10305,4,2520,1124.0,1.0,4,3,1982,3957.0,West,Detached,588028
10307,6,1783,1190.0,3.0,4,1,2018,11193.0,East,Semi-Detached,596013
10309,10,2134,1012.0,2.0,3,3,2006,11465.0,Central,Detached,776919
10310,8,1966,340.0,2.0,3,1,1993,13678.0,North,Detached,617382
10311,10,2242,1018.0,2.0,3,3,1962,6726.0,North,Detached,747858
10312,9,2099,717.0,2.0,4,2,1973,26325.0,Central,Detached,628423
10313,6,2327,,3.0,4,2,1993,6848.0,South,Townhouse,608389
10314,9,1456,830.0,3.0,4,3,2006,7270.0,West,Detached,654062
10315,5,2475,1003.0,3.0,2,2,1965,,Central,Semi-Detached,611646
10316,10,1859,796.0,1.0,4,2,1970,10225.0,West,Semi-Detached,644168
10318,3,1371,922.0,2.0,5,2,1970,7721.0,South,Townhouse,446183
10319,9,2705,1783.0,1.0,5,2,2009,7294.0,South,Townhouse,762477
10320,8,1859,1376.0,0.0,2,3,2000,7220.0,South,Detached,618724
10321,10,1392,1243.0,1.0,4,3,1970,8591.0,West,Townhouse,638305
10322,7,1484,1197.0,3.0,2,2,1955,6533.0,West,Semi-Detached,539960
10324,4,1983,279.0,2.0,3,2,2014,12965.0,North,Semi-Detached,530528
10326,8,1434,1388.0,2.0,4,3,1955,9507.0,Greenfield,Townhouse,606576
10327,5,1737,1030.0,0.0,1,1,2014,5361.0,East,Detached,531953
10328,9,2928,488.0,2.0,2,2,1983,6549.0,Lakeside,Semi-Detached,694993
10329,10,2700,1029.0,2.0,4,2,2005,4594.0,Lakeside,Detached,816735
10330,10,1990,1732.0,1.0,4,2,2024,18429.0,West,Detached,782461
10331,3,1771,1549.0,3.0,5,3,1952,14856.0,Central,Detached,505653
10334,5,1187,903.0,2.0,3,2,1955,11314.0,South,Detached,433347
10335,8,1608,368.0,2.0,1,2,1955,7404.0,Lakeside,Detached,563014
10336,10,832,680.0,1.0,2,2,2012,9460.0,North,Detached,591888
10337,7,1970,1675.0,0.0,3,2,1969,14758.0,Central,Detached,597244
10338,5,2106,940.0,3.0,4,3,1970,5383.0,North,Detached,614888
10339,6,1484,953.0,1.0,3,3,1951,4719.0,Greenfield,Detached,513368
10341,5,1076,1812.0,4.0,3,2,1959,6143.0,Central,Detached,515801
10342,6,945,1700.0,1.0,2,2,2019,2894.0,West,Detached,552975
10344,4,2326,986.0,2.0,4,4,1979,6954.0,Central,Semi-Detached,583583
10346,9,1498,443.0,3.0,5,2,2004,8286.0,North,Detached,648766
10347,5,2343,1641.0,2.0,2,2,1998,19723.0,Greenfield,Townhouse,599376
10348,6,1729,583.0,3.0,6,1,1983,7286.0,West,Semi-Detached,571705
10349,10,1655,1137.0,1.0,3,1,1993,9067.0,Lakeside,Detached,640459
10350,9,2236,611.0,4.0,1,2,1971,3849.0,East,Semi-Detached,654007
10354,10,2509,834.0,1.0,3,2,1965,,West,Townhouse,710316
10356,9,1968,1383.0,3.0,5,2,1992,6256.0,North,Semi-Detached,716879
10357,4,2022,608.0,2.0,3,1,1993,7639.0,Central,Semi-Detached,549154
10358,10,1893,1138.0,1.0,4,2,1996,10204.0,Central,Semi-Detached,686927
10359,3,1447,1537.0,2.0,3,2,1968,20006.0,West,Semi-Detached,446703
10360,5,1381,845.0,4.0,4,2,1997,7240.0,North,Semi-Detached,532919
10361,6,1736,763.0,2.0,3,2,2018,17736.0,East,Semi-Detached,551070
10362,3,2395,958.0,2.0,3,2,1960,3313.0,East,Detached,492071
10363,3,2049,1522.0,1.0,3,1,1978,8552.0,West,Detached,513337
10364,4,1546,1128.0,4.0,3,2,1994,6883.0,Lakeside,Townhouse,520804
10365,9,2174,838.0,3.0,5,3,2017,6295.0,Central,Detached,746204
10369,5,1551,1213.0,1.0,3,2,1993,3914.0,Central,Townhouse,525765
10370,9,1134,927.0,2.0,4,2,2016,11071.0,North,Semi-Detached,621478
10371,6,1038,715.0,3.0,6,2,2023,3829.0,Central,Detached,496833
10373,4,1493,1264.0,3.0,4,3,1963,8462.0,East,Detached,504294
10374,10,1941,1542.0,2.0,3,2,2012,7410.0,North,Detached,771340
10376,6,2012,1233.0,2.0,4,2,2007,10085.0,North,Detached,600986
10377,6,1792,215.0,1.0,3,3,1964,4709.0,South,Detached,466689
10378,3,1044,816.0,2.0,4,3,2014,8154.0,North,Detached,475632
10379,4,2298,1038.0,2.0,5,2,2004,4791.0,Central,Semi-Detached,565612
10380,3,1478,686.0,0.0,3,3,1959,8611.0,North,Semi-Detached,404893
10381,10,894,675.0,2.0,5,2,1991,10701.0,West,Detached,564850
10385,7,1558,155.0,3.0,3,2,1968,7779.0,South,Townhouse,501591
10386,10,1558,202.0,2.0,6,2,1980,7188.0,West,Detached,598660
10387,5,1573,807.0,3.0,4,2,2022,6979.0,North,Townhouse,540202
10388,9,2892,,2.0,2,2,2002,5580.0,Greenfield,Detached,729689
10389,3,1960,0.0,3.0,3,2,1957,6587.0,West,Semi-Detached,385125
10390,3,1987,850.0,2.0,4,2,1973,4849.0,North,Detached,507516
10391,5,2317,840.0,2.0,2,1,1957,3732.0,East,Detached,564439
10392,5,1881,1605.0,2.0,1,2,1997,5836.0,North,Detached,623688
10393,10,1608,896.0,2.0,3,1,1979,10603.0,East,Detached,642981
10394,10,1642,,1.0,3,1,2007,8889.0,Central,Detached,670134
10396,6,1730,198.0,0.0,3,2,2022,6664.0,East,Semi-Detached,507365
10397,10,2150,1357.0,3.0,2,2,2011,10925.0,North,Semi-Detached,729181
10398,8,1779,1136.0,1.0,4,1,1997,6538.0,South,Detached,583260
10400,3,1706,2500.0,2.0,3,2,1986,22096.0,Lakeside,Townhouse,555508
10401,10,1793,,2.0,3,2,1957,7421.0,North,Detached,652862
10402,6,651,1740.0,2.0,4,2,1950,4739.0,West,Detached,455012
10403,5,2254,935.0,1.0,2,2,2019,8641.0,East,Detached,571061
10404,3,1941,1165.0,3.0,2,2,1996,7698.0,South,Semi-Detached,500264
10405,10,2299,,3.0,2,1,2024,3998.0,Central,Detached,798549
10406,6,500,880.0,3.0,4,2,1954,8343.0,East,Detached,426930
10407,8,2899,822.0,2.0,4,3,1999,12455.0,East,Townhouse,713133
10408,10,1673,1182.0,3.0,4,2,1973,7204.0,West,Semi-Detached,683909
10410,8,1178,1350.0,0.0,4,3,1967,9331.0,South,Detached,536138
10411,5,2087,884.0,0.0,3,2,1977,10493.0,West,Detached,535572
10413,8,1407,870.0,2.0,2,2,1979,6165.0,North,Townhouse,552789
10417,7,2229,758.0,2.0,3,3,1980,8091.0,West,Detached,610129
10418,4,2023,1353.0,2.0,3,4,2019,10362.0,Lakeside,Semi-Detached,641272
10419,10,1833,1324.0,2.0,4,3,2005,10166.0,Greenfield,Townhouse,659549
10420,8,1951,1789.0,1.0,4,3,1977,2635.0,North,Detached,709409
10422,4,1718,1317.0,2.0,3,2,2003,13440.0,West,Townhouse,507123
10423,8,1861,1089.0,1.0,4,2,2002,9267.0,North,Detached,628999
10424,5,2328,1568.0,1.0,3,2,1961,4588.0,Central,Townhouse,617232
10425,10,2358,762.0,2.0,5,3,1969,13993.0,Central,Semi-Detached,775078
10428,6,1121,1024.0,1.0,4,3,2013,11884.0,South,Detached,520673
10429,3,2648,1087.0,3.0,4,4,1972,19675.0,Lakeside,Detached,652051
10431,3,1916,1004.0,2.0,2,2,1966,10272.0,Greenfield,Detached,473936
10432,8,1335,1136.0,2.0,2,1,1997,19553.0,North,Townhouse,569964
10435,6,1927,1398.0,2.0,4,2,1989,8908.0,North,Detached,583311
10436,10,1982,868.0,4.0,3,3,1952,14819.0,West,Semi-Detached,677514
10437,10,2638,694.0,,2,3,1966,5065.0,West,Semi-Detached,720730
10438,10,1999,1432.0,2.0,4,2,2010,7892.0,South,Detached,701605
10441,3,2404,808.0,3.0,3,1,1977,8919.0,East,Detached,576218
